t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,231113240,24252,8436,384938473
1.08,231114920,24256,8436,384938473
2.08,231116334,24258,8436,384938473
3.09,231117194,24260,8436,384938473
4.11,231118701,24261,8436,384938473
5.12,231119911,24264,8436,384938473
6.12,231120978,24266,8436,384938473
7.13,231122167,24268,8436,384938473
8.14,231132182,24272,8436,384938473
9.14,231187797,24281,8436,384938473
10.15,231298186,24289,8442,385230296
11.15,231408863,24299,8442,385230296
12.16,231523179,24309,8442,385230296
13.17,231625819,24319,8442,385230296
14.17,231726659,24329,8442,385230296
15.18,231856850,24339,8447,385472967
16.19,231961955,24349,8447,385472967
17.19,232088051,24359,8447,385472967
18.20,232195302,24369,8447,385472967
19.20,232293340,24379,8447,385472967
20.21,232400849,24389,8447,385472967
21.21,232515214,24399,8447,385472967
22.22,232595548,24409,8447,385472967
23.22,232700729,24419,8447,385472967
24.22,232802116,24429,8447,385472967
25.23,232906302,24440,8447,385472967
26.24,233013166,24450,8447,385472967
27.24,233126076,24460,8447,385472967
28.24,233245469,24470,8447,385472967
29.25,233370773,24480,8447,385472967
30.25,233479785,24490,8447,385472967
31.25,233576131,24500,8447,385472967
32.26,233659514,24510,8447,385472967
33.26,233746607,24520,8447,385472967
34.27,233856157,24530,8447,385472967
35.27,233984275,24540,8451,385710854
36.27,234117508,24550,8454,385728344
37.28,234281225,24560,8464,385910289
38.28,234438737,24570,8472,385966060
39.29,234571946,24580,8473,385966060
40.29,234713373,24590,8475,385966060
41.29,234849487,24600,8475,385966060
42.30,234969030,24610,8475,385966060
43.30,235049005,24620,8475,385966060
44.31,235131038,24630,8475,385966060
45.31,235221722,24640,8475,385966060
46.31,235317187,24650,8475,385966060
47.32,235418321,24660,8475,385966060
48.32,235515883,24670,8475,385966060
49.33,235617653,24680,8475,385966060
50.33,235715456,24691,8475,385966060
51.33,235810501,24701,8475,385966060
52.34,235908662,24711,8475,385966060
53.34,236040446,24721,8475,385966060
54.35,236155425,24731,8479,386251043
55.35,236239999,24741,8479,386251043
56.35,236336526,24751,8479,386251043
57.36,236434877,24761,8479,386251043
58.36,236536417,24771,8479,386251043
59.37,236638730,24781,8479,386251043
60.38,236739748,24791,8479,386251043
61.38,236835649,24801,8479,386251043
62.38,236939141,24811,8479,386251043
63.39,237032606,24821,8479,386251043
64.40,237132120,24831,8479,386251043
65.40,237214066,24841,8479,386251043
66.41,237329024,24851,8479,386251043
67.41,237452735,24861,8480,386251043
68.41,237545508,24871,8480,386251043
69.42,237644774,24881,8480,386251043
70.43,237743381,24891,8480,386251043
71.43,237842152,24902,8480,386251043
72.44,237968690,24912,8484,386529023
73.44,238065655,24922,8484,386529023
74.45,238160452,24932,8484,386529023
75.45,238258696,24942,8484,386529023
76.46,238330045,24952,8484,386529023
77.47,238459214,24962,8484,386529023
78.47,238565823,24972,8484,386529023
79.47,238663733,24982,8484,386529023
80.48,238763466,24992,8484,386529023
81.49,238859937,25002,8484,386529023
82.49,238963835,25012,8484,386529023
83.49,239054307,25022,8484,386529023
84.50,239149948,25032,8484,386529023
85.51,239248338,25042,8484,386529023
86.51,239339887,25052,8484,386529023
87.52,239412212,25062,8484,386529023
88.52,239501709,25072,8484,386529023
89.53,239651610,25082,8490,386850975
90.54,239752677,25093,8490,386850975
91.54,239846834,25103,8490,386850975
92.55,239941760,25113,8490,386850975
93.55,240040498,25123,8490,386850975
94.56,240140960,25133,8490,386850975
95.56,240247617,25143,8490,386850975
96.57,240344224,25153,8490,386850975
97.58,240442209,25163,8490,386850975
98.58,240511505,25173,8490,386850975
99.59,240616566,25183,8490,386850975
100.59,240721953,25193,8490,386850975
101.60,240846542,25203,8490,386850975
102.60,240939980,25213,8490,386850975
103.61,241036028,25223,8490,386850975
104.61,241136318,25233,8490,386850975
105.61,241233163,25243,8490,386850975
106.63,241333925,25253,8490,386850975
107.63,241454858,25263,8493,387040046
108.65,241559334,25274,8495,387131240
109.65,241620994,25284,8495,387131240
110.66,241713122,25294,8495,387131240
111.66,241814476,25304,8495,387131240
112.67,241914258,25314,8495,387131240
113.67,242038032,25324,8495,387131240
114.67,242137482,25334,8495,387131240
115.68,242231718,25344,8495,387131240
116.68,242323499,25354,8495,387131240
117.69,242420123,25364,8495,387131240
118.70,242512940,25374,8495,387131240
119.70,242602912,25384,8495,387131240
120.71,242662673,25394,8495,387131240
121.71,242757818,25404,8495,387131240
122.72,242863583,25414,8495,387131240
123.72,242964256,25424,8495,387131240
124.73,243073340,25435,8495,387131240
125.74,243220059,25444,8496,387142157
126.74,243337290,25455,8500,387419791
127.75,243429663,25465,8500,387419791
128.76,243529462,25475,8500,387419791
129.76,243621100,25485,8500,387419791
130.77,243710333,25495,8500,387419791
131.78,243779796,25505,8500,387419791
132.78,243885565,25515,8500,387419791
133.79,243984918,25525,8500,387419791
134.79,244084279,25535,8500,387419791
135.80,244185404,25545,8500,387419791
136.80,244284164,25555,8500,387419791
137.81,244398932,25565,8500,387419791
138.81,244491417,25575,8500,387419791
139.82,244595491,25585,8500,387419791
140.83,244696549,25595,8500,387419791
141.83,244782421,25606,8500,387419791
142.84,244859125,25616,8500,387419791
143.85,244958807,25626,8500,387419791
144.85,245056541,25636,8500,387419791
145.85,245183653,25646,8505,387664626
146.86,245279243,25656,8505,387664626
147.86,245375026,25666,8505,387664626
148.88,245477779,25676,8505,387664626
149.88,245600486,25686,8505,387664626
150.89,245698100,25696,8505,387664626
151.89,245791997,25706,8505,387664626
152.89,245870523,25716,8505,387664626
153.90,245945123,25726,8505,387664626
154.90,246042080,25736,8505,387664626
155.91,246138301,25746,8505,387664626
156.91,246228306,25756,8505,387664626
157.92,246325416,25766,8505,387664626
158.92,246426726,25776,8505,387664626
159.93,246520678,25786,8505,387664626
160.93,246637721,25797,8505,387664626
161.93,246784111,25807,8511,387972855
162.94,246880484,25817,8511,387972855
163.94,246958850,25827,8511,387972855
164.94,247047200,25837,8511,387972855
165.95,247153468,25847,8511,387972855
166.95,247244698,25857,8511,387972855
167.95,247332372,25867,8511,387972855
168.96,247433108,25877,8511,387972855
169.96,247530530,25887,8511,387972855
170.97,247626923,25897,8511,387972855
171.97,247720528,25907,8511,387972855
172.97,247823029,25917,8511,387972855
173.98,247947462,25927,8511,387972855
174.98,248021884,25937,8511,387972855
175.99,248100215,25947,8511,387972855
176.99,248195020,25957,8511,387972855
178.00,248323005,25967,8515,388222401
179.01,248415773,25977,8515,388222401
180.01,248511204,25987,8515,388222401
181.01,248607616,25997,8515,388222401
182.03,248704341,26007,8515,388222401
183.04,248796086,26018,8515,388222401
184.05,248893256,26028,8515,388222401
185.06,248995344,26038,8515,388222401
186.06,249095638,26048,8515,388222401
187.07,249172491,26058,8515,388222401
188.07,249272120,26068,8515,388222401
189.07,249367836,26078,8515,388222401
190.08,249464197,26088,8515,388222401
191.08,249557137,26098,8515,388222401
192.09,249651124,26108,8515,388222401
193.10,249752746,26118,8515,388222401
194.11,249845009,26128,8515,388222401
195.11,249941285,26138,8515,388222401
196.13,250050083,26148,8515,388222401
197.14,250146809,26159,8519,388433961
198.15,250244012,26169,8519,388433961
199.16,250353144,26179,8520,388433961
200.17,250453241,26189,8520,388433961
201.18,250555097,26199,8520,388433961
202.18,250653898,26209,8520,388433961
203.19,250751696,26219,8520,388433961
204.20,250846958,26229,8520,388433961
205.21,250938738,26239,8520,388433961
206.21,251043115,26249,8520,388433961
207.21,251141390,26259,8520,388433961
208.22,251213725,26269,8520,388433961
209.23,251316511,26279,8520,388433961
210.23,251444634,26290,8520,388433961
211.23,251546661,26300,8520,388433961
212.24,251644972,26310,8520,388433961
213.24,251760340,26320,8521,388455783
214.25,251869056,26330,8524,388647699
215.26,251969085,26340,8524,388647699
216.27,252062230,26350,8524,388647699
217.28,252155618,26360,8524,388647699
218.29,252248641,26370,8524,388647699
219.30,252322622,26380,8524,388647699
220.31,252412522,26390,8524,388647699
221.31,252518178,26400,8524,388647699
222.32,252640943,26410,8524,388647699
223.32,252741683,26420,8524,388647699
224.33,252837079,26430,8524,388647699
225.33,252939515,26441,8524,388647699
226.34,253039010,26451,8524,388647699
227.35,253133896,26461,8524,388647699
228.36,253235150,26471,8524,388647699
229.38,253329998,26481,8524,388647699
230.38,253395908,26491,8524,388647699
231.39,253486766,26501,8524,388647699
232.40,253589923,26511,8524,388647699
233.41,253728045,26521,8528,388851822
234.42,253851506,26531,8528,388851822
235.43,253947464,26541,8528,388851822
236.43,254044764,26551,8528,388851822
237.43,254142120,26562,8528,388851822
238.44,254244070,26572,8528,388851822
239.45,254343401,26582,8528,388851822
240.45,254439126,26592,8528,388851822
241.46,254501454,26602,8528,388851822
242.47,254600589,26612,8528,388851822
243.48,254701772,26622,8528,388851822
244.48,254798801,26632,8528,388851822
245.49,254902351,26642,8528,388851822
246.49,255021971,26652,8528,388851822
247.50,255126259,26662,8528,388851822
248.51,255221981,26672,8528,388851822
249.51,255321239,26682,8528,388851822
250.52,255437930,26692,8530,388961707
251.52,255539298,26702,8532,389065686
252.53,255605746,26712,8532,389065686
253.53,255704071,26723,8532,389065686
254.54,255799761,26733,8532,389065686
255.55,255891829,26743,8532,389065686
256.55,255990570,26753,8532,389065686
257.55,256096539,26763,8532,389065686
258.56,256209379,26773,8532,389065686
259.56,256307833,26783,8532,389065686
260.57,256402988,26793,8532,389065686
261.57,256495736,26803,8532,389065686
262.57,256587121,26813,8532,389065686
263.58,256658242,26823,8532,389065686
264.58,256756805,26833,8532,389065686
265.59,256860011,26843,8532,389065686
266.59,256956873,26853,8532,389065686
267.59,257055038,26863,8532,389065686
268.60,257147370,26873,8532,389065686
269.60,257278228,26883,8533,389101994
270.61,257403166,26893,8538,389377710
271.62,257502757,26903,8538,389377710
272.62,257595002,26913,8538,389377710
273.63,257684194,26923,8538,389377710
274.63,257769496,26934,8538,389377710
275.64,257865418,26944,8538,389377710
276.64,257967220,26954,8538,389377710
277.65,258061071,26964,8538,389377710
278.65,258163505,26974,8538,389377710
279.66,258261584,26984,8538,389377710
280.67,258358244,26994,8538,389377710
281.68,258464589,27004,8538,389377710
282.69,258586323,27014,8538,389377710
283.69,258685757,27024,8538,389377710
284.69,258774785,27034,8538,389377710
285.70,258856348,27044,8538,389377710
286.71,258953765,27054,8538,389377710
287.72,259067654,27064,8539,389443863
288.72,259181102,27074,8543,389644053
