t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,61561880,17746,3102,88275928
1.00,61564149,17750,3102,88275928
2.00,61566784,17754,3102,88275928
3.01,61569333,17758,3102,88275928
4.11,61572024,17764,3102,88275928
5.13,61575193,17769,3102,88275928
6.23,61578066,17774,3102,88275928
7.23,61582999,17781,3102,88275928
8.23,61640687,17788,3104,88404200
9.23,61690561,17797,3106,88515011
10.23,61779950,17806,3110,88781088
11.24,61937695,17816,3120,89478270
12.24,62040309,17826,3121,89489225
13.24,62132847,17836,3121,89489225
14.24,62234545,17846,3121,89489225
15.24,62336724,17856,3121,89489225
16.24,62436691,17866,3121,89489225
17.24,62543841,17876,3121,89489225
18.25,62647300,17886,3121,89489225
19.25,62747988,17896,3121,89489225
20.25,62849883,17906,3121,89489225
21.28,62946728,17917,3121,89489225
22.29,63018761,17927,3121,89489225
23.29,63112091,17937,3121,89489225
24.29,63200478,17947,3121,89489225
25.29,63290243,17957,3121,89489225
26.29,63376288,17967,3121,89489225
27.29,63473079,17977,3121,89489225
28.29,63575674,17987,3121,89489225
29.30,63679718,17997,3121,89489225
30.30,63780427,18007,3121,89489225
31.30,63886364,18017,3121,89489225
32.30,63984873,18027,3121,89489225
33.31,64055818,18037,3121,89489225
34.31,64137393,18047,3121,89489225
35.32,64233489,18057,3121,89489225
36.32,64329947,18067,3121,89489225
37.32,64448864,18077,3121,89489225
38.32,64541803,18087,3121,89489225
39.32,64639183,18097,3121,89489225
40.32,64743860,18107,3121,89489225
41.32,64854397,18117,3121,89489225
42.32,64957509,18127,3121,89489225
43.33,65057776,18137,3121,89489225
44.33,65150261,18147,3121,89489225
45.33,65255675,18157,3121,89489225
46.33,65354754,18167,3121,89489225
47.33,65472134,18177,3121,89489225
48.33,65576134,18187,3121,89489225
49.33,65652730,18197,3121,89489225
50.34,65752866,18207,3121,89489225
51.34,65857358,18217,3121,89489225
52.34,65953710,18227,3121,89489225
53.34,66056530,18237,3121,89489225
54.34,66158978,18247,3121,89489225
55.36,66254167,18257,3121,89489225
56.36,66362864,18267,3121,89489225
57.36,66468736,18277,3121,89489225
58.36,66570672,18287,3121,89489225
59.36,66672149,18297,3121,89489225
60.36,66755357,18308,3121,89489225
61.36,66858128,18318,3121,89489225
62.37,66954551,18328,3121,89489225
63.37,67053715,18338,3121,89489225
64.37,67150996,18348,3121,89489225
65.37,67247597,18358,3121,89489225
66.37,67334329,18368,3121,89489225
67.37,67437820,18378,3121,89489225
68.37,67538648,18388,3121,89489225
69.37,67641394,18398,3121,89489225
70.38,67735929,18408,3121,89489225
71.38,67827512,18418,3121,89489225
72.38,67937701,18428,3121,89489225
73.40,68042072,18438,3121,89489225
74.40,68149020,18448,3121,89489225
75.40,68254857,18458,3121,89489225
76.40,68356315,18468,3121,89489225
77.40,68444568,18478,3121,89489225
78.40,68551073,18488,3121,89489225
79.41,68656002,18498,3121,89489225
80.41,68756536,18508,3121,89489225
81.41,68845627,18518,3121,89489225
82.41,68932145,18528,3121,89489225
83.41,69046514,18538,3121,89489225
84.41,69162924,18548,3121,89489225
85.41,69265208,18558,3121,89489225
86.41,69368111,18568,3121,89489225
87.41,69467002,18578,3121,89489225
88.42,69559047,18588,3121,89489225
89.42,69662825,18598,3121,89489225
90.42,69768824,18608,3121,89489225
91.42,69880756,18618,3121,89489225
92.42,69975307,18628,3121,89489225
93.43,70057680,18638,3121,89489225
94.43,70162765,18648,3121,89489225
95.43,70274664,18658,3121,89489225
96.43,70384968,18668,3121,89489225
97.43,70488387,18678,3121,89489225
98.43,70593489,18688,3121,89489225
99.44,70681434,18698,3121,89489225
100.45,70786725,18708,3121,89489225
