t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,12757699,14558,73,4469582
1.00,12760961,14564,73,4469582
2.00,12764171,14570,73,4469582
3.00,12767331,14576,73,4469582
4.01,12769946,14581,73,4469582
5.01,12772982,14585,73,4469582
6.01,12776337,14590,73,4469582
7.01,12779343,14596,73,4469582
8.01,12782657,14601,73,4469582
9.01,12786852,14608,73,4469582
10.01,12793169,14615,73,4469582
11.01,12895798,14624,78,4689552
12.02,12951296,14632,78,4689552
13.02,13111191,14642,88,5434166
14.02,13272166,14652,98,6183153
15.02,13431406,14662,108,6593534
16.02,13591744,14672,118,6805642
17.02,13751817,14682,128,6911800
18.02,13911697,14692,138,7212968
19.02,14071412,14702,148,7564246
20.02,14231371,14712,158,7851173
21.03,14391378,14722,168,8103968
22.03,14552059,14732,178,8481334
23.03,14711909,14742,188,8745661
24.03,14871224,14752,198,9012397
25.03,15031629,14762,208,9352875
26.03,15191381,14772,218,9724673
27.03,15351847,14783,229,10065854
28.03,15512537,14793,239,10419274
29.03,15673306,14803,249,10657838
30.04,15832788,14813,259,10931740
31.04,15995903,14823,269,11232281
32.04,16155019,14833,279,11498274
33.04,16314754,14843,289,11781814
34.04,16475572,14853,299,12044490
35.04,16634910,14863,309,12285777
36.04,16798601,14873,319,12577210
37.04,16960215,14883,329,12948603
38.04,17116481,14893,339,13353625
39.04,17280639,14903,349,13926989
40.04,17439868,14913,359,14470277
41.04,17595116,14923,369,14886638
42.05,17758082,14933,379,15110614
43.05,17919389,14943,389,15397486
44.05,18077943,14953,399,15685441
45.05,18236664,14963,409,15905042
46.05,18396633,14973,419,16152564
47.05,18559994,14983,429,16450552
48.05,18716527,14993,439,16690701
49.05,18881227,15003,449,16983738
50.05,19040104,15013,459,17363900
51.05,19198095,15023,469,17552770
52.05,19360280,15033,479,17831285
53.05,19519579,15043,489,18090663
54.06,19679282,15053,499,18317175
55.06,19837426,15063,509,18582727
56.06,19999860,15073,519,18828490
57.06,20160804,15083,529,19029750
58.06,20319221,15093,539,19276051
59.06,20481557,15103,549,19554633
