t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,11214400,12811,46,2674774
1.02,11217696,12817,46,2674774
2.03,11220873,12822,46,2674774
3.08,11224400,12828,46,2674774
4.12,11228160,12835,46,2674774
5.22,11231127,12840,46,2674774
6.32,11234414,12846,46,2674774
7.42,11237487,12852,46,2674774
8.42,11240245,12856,46,2674774
9.42,11243922,12862,46,2674774
10.42,11304800,12871,49,2876036
11.42,11396265,12881,52,2979186
12.42,11471723,12891,55,3141443
13.42,11634274,12901,65,3866742
14.42,11760719,12911,73,4469582
15.42,11764012,12916,73,4469582
16.42,11769223,12923,73,4469582
17.43,11772125,12928,73,4469582
18.43,11776562,12935,73,4469582
19.43,11783395,12943,73,4469582
20.43,11786377,12949,73,4469582
21.43,11789102,12953,73,4469582
22.43,11792625,12958,73,4469582
23.43,11795145,12964,73,4469582
24.44,11798142,12969,73,4469582
25.44,11800788,12974,73,4469582
26.44,11803790,12979,73,4469582
27.44,11806459,12983,73,4469582
28.45,11809438,12989,73,4469582
29.45,11812052,12993,73,4469582
30.45,11814791,12999,73,4469582
31.45,11817556,13003,73,4469582
32.45,11820948,13008,73,4469582
33.46,11824054,13014,73,4469582
34.46,11827966,13019,73,4469582
35.46,11830723,13023,73,4469582
36.46,11834068,13029,73,4469582
37.46,11837287,13035,73,4469582
38.47,11842585,13040,73,4469582
39.47,11846463,13046,73,4469582
40.47,11849716,13052,73,4469582
41.47,11852868,13058,73,4469582
42.47,11856735,13065,73,4469582
43.47,11859442,13070,73,4469582
44.47,11862463,13075,73,4469582
45.47,11865586,13081,73,4469582
46.48,11868291,13086,73,4469582
47.48,11870580,13091,73,4469582
48.48,11874114,13096,73,4469582
49.48,11877102,13101,73,4469582
50.48,11879536,13106,73,4469582
51.48,11882402,13110,73,4469582
52.48,11886281,13116,73,4469582
53.49,11890020,13122,73,4469582
54.49,11894216,13129,73,4469582
55.49,11897315,13134,73,4469582
56.49,11899965,13140,73,4469582
57.49,11902706,13145,73,4469582
58.49,11905192,13149,73,4469582
59.49,11908259,13155,73,4469582
60.50,11910887,13159,73,4469582
61.50,11914114,13165,73,4469582
62.50,11917303,13170,73,4469582
63.50,11921873,13177,73,4469582
64.50,11925459,13184,73,4469582
65.50,11928608,13189,73,4469582
66.50,11931358,13194,73,4469582
67.50,11933741,13199,73,4469582
68.50,11936303,13203,73,4469582
69.51,11939529,13210,73,4469582
70.51,11942435,13214,73,4469582
71.51,11946091,13220,73,4469582
72.51,11949536,13227,73,4469582
73.51,11952707,13232,73,4469582
74.51,11956696,13238,73,4469582
75.51,11959107,13244,73,4469582
76.51,11962003,13248,73,4469582
77.52,11964884,13254,73,4469582
78.52,11967992,13260,73,4469582
79.52,11970982,13264,73,4469582
80.52,11973482,13269,73,4469582
81.52,11976384,13274,73,4469582
82.52,11979814,13280,73,4469582
83.52,11982606,13284,73,4469582
84.52,11985260,13289,73,4469582
85.52,11987655,13294,73,4469582
86.53,11991271,13299,73,4469582
87.53,11993988,13304,73,4469582
88.53,12000370,13311,73,4469582
89.53,12003298,13317,73,4469582
90.54,12006211,13322,73,4469582
91.54,12009122,13327,73,4469582
92.54,12012630,13332,73,4469582
93.54,12015922,13338,73,4469582
94.54,12019594,13344,73,4469582
95.54,12022156,13348,73,4469582
96.54,12024851,13353,73,4469582
97.55,12027298,13358,73,4469582
98.55,12029728,13362,73,4469582
99.55,12032508,13367,73,4469582
100.55,12035584,13372,73,4469582
101.55,12038918,13378,73,4469582
102.55,12042254,13384,73,4469582
103.55,12045359,13390,73,4469582
104.55,12047856,13394,73,4469582
105.56,12050266,13398,73,4469582
106.56,12052766,13402,73,4469582
107.56,12055257,13407,73,4469582
108.56,12057474,13412,73,4469582
109.56,12059919,13416,73,4469582
110.56,12062299,13420,73,4469582
111.56,12065719,13425,73,4469582
112.56,12069059,13431,73,4469582
113.56,12076838,13439,73,4469582
114.56,12080478,13445,73,4469582
115.57,12083071,13450,73,4469582
116.57,12085873,13455,73,4469582
117.57,12088437,13460,73,4469582
118.57,12091527,13465,73,4469582
119.57,12093750,13469,73,4469582
120.58,12096217,13474,73,4469582
121.58,12098935,13479,73,4469582
122.59,12102651,13485,73,4469582
123.59,12105164,13490,73,4469582
124.59,12107640,13494,73,4469582
125.60,12110863,13499,73,4469582
126.60,12113251,13504,73,4469582
127.60,12115683,13508,73,4469582
