t,usage_usec,nr_periods,nr_throttled,throttled_usec
0.00,8441285,0,0,0
1.04,8445711,0,0,0
2.04,8446879,0,0,0
3.06,8447947,0,0,0
4.07,8449388,0,0,0
5.07,8450353,0,0,0
6.07,8454932,0,0,0
7.07,8463916,0,0,0
8.11,8467787,0,0,0
9.11,8469077,0,0,0
10.12,8473181,0,0,0
11.12,8477569,0,0,0
12.12,8479096,0,0,0
13.12,8480000,0,0,0
14.12,8481078,0,0,0
15.13,8482032,0,0,0
16.13,8483678,0,0,0
17.13,8488472,0,0,0
18.13,8489626,0,0,0
19.13,8492475,0,0,0
20.14,8493950,0,0,0
21.14,8494908,0,0,0
22.14,8499315,0,0,0
23.14,8500424,0,0,0
24.14,8501580,0,0,0
25.24,8502891,0,0,0
26.24,8503951,0,0,0
27.24,8504956,0,0,0
28.25,8508988,0,0,0
29.26,8510434,0,0,0
30.26,8514426,0,0,0
31.26,8516065,0,0,0
32.26,8517097,0,0,0
33.27,8521365,0,0,0
34.27,8522510,0,0,0
35.27,8523916,0,0,0
36.27,8524699,0,0,0
37.27,8525569,0,0,0
38.27,8526483,0,0,0
39.27,8536686,0,0,0
40.28,8537856,0,0,0
41.28,8540574,0,0,0
42.28,8541921,0,0,0
43.28,8543222,0,0,0
44.28,8547458,0,0,0
45.28,8549095,0,0,0
46.28,8549948,0,0,0
47.29,8550997,0,0,0
48.29,8552036,0,0,0
49.29,8553133,0,0,0
50.29,8557397,0,0,0
51.29,8558565,0,0,0
52.29,8562774,0,0,0
53.29,8563840,0,0,0
54.29,8564841,0,0,0
55.29,8569630,0,0,0
56.30,8570839,0,0,0
57.30,8571659,0,0,0
58.30,8572761,0,0,0
59.30,8574000,0,0,0
60.30,8575229,0,0,0
61.30,8579315,0,0,0
62.30,8580396,0,0,0
63.30,8583101,0,0,0
64.31,8584087,0,0,0
65.31,8585590,0,0,0
66.31,8589792,0,0,0
67.31,8591020,0,0,0
68.31,8592013,0,0,0
69.32,8593313,0,0,0
70.32,8597783,0,0,0
71.32,8599008,0,0,0
72.32,8603460,0,0,0
73.33,8604593,0,0,0
74.33,8608427,0,0,0
75.33,8610079,0,0,0
76.33,8611041,0,0,0
77.33,8615095,0,0,0
78.34,8616430,0,0,0
79.34,8617653,0,0,0
80.34,8618812,0,0,0
81.34,8619901,0,0,0
82.35,8620975,0,0,0
83.35,8625773,0,0,0
84.35,8626944,0,0,0
85.35,8629854,0,0,0
86.35,8631172,0,0,0
87.35,8632339,0,0,0
88.35,8636383,0,0,0
89.35,8637753,0,0,0
90.36,8638577,0,0,0
91.36,8639696,0,0,0
92.36,8640572,0,0,0
93.36,8641644,0,0,0
94.36,8651637,0,0,0
95.37,8654165,0,0,0
96.37,8655814,0,0,0
97.37,8656864,0,0,0
98.37,8657950,0,0,0
99.37,8662884,0,0,0
100.37,8664133,0,0,0
101.38,8664964,0,0,0
102.38,8665986,0,0,0
103.38,8667105,0,0,0
104.38,8668096,0,0,0
105.38,8672752,0,0,0
106.39,8675224,0,0,0
107.39,8677063,0,0,0
108.39,8678155,0,0,0
109.39,8679428,0,0,0
110.40,8683387,0,0,0
111.40,8684624,0,0,0
112.40,8685514,0,0,0
113.40,8686598,0,0,0
114.41,8687605,0,0,0
115.51,8689299,0,0,0
116.59,8693549,0,0,0
117.69,8696234,0,0,0
118.72,8697718,0,0,0
119.72,8698938,0,0,0
120.72,8699994,0,0,0
121.73,8704209,0,0,0
122.73,8705138,0,0,0
123.73,8706208,0,0,0
124.73,8707144,0,0,0
125.73,8708583,0,0,0
126.74,8709643,0,0,0
127.74,8714374,0,0,0
128.74,8716856,0,0,0
129.74,8720757,0,0,0
130.74,8721948,0,0,0
131.75,8723114,0,0,0
132.75,8727496,0,0,0
133.75,8728512,0,0,0
134.75,8729486,0,0,0
135.75,8731264,0,0,0
136.76,8732275,0,0,0
137.76,8733354,0,0,0
138.76,8737875,0,0,0
139.76,8741115,0,0,0
140.77,8742549,0,0,0
141.77,8743555,0,0,0
142.77,8744658,0,0,0
143.77,8758534,0,0,0
144.77,8762294,0,0,0
145.78,8766331,0,0,0
146.78,8770249,0,0,0
147.78,8773923,0,0,0
148.78,8777433,0,0,0
149.78,8788948,0,0,0
150.79,8794540,0,0,0
151.79,8804410,0,0,0
152.79,8808107,0,0,0
153.79,8811933,0,0,0
154.79,8818950,0,0,0
155.79,8820414,0,0,0
156.80,8821445,0,0,0
157.80,8822556,0,0,0
158.80,8823595,0,0,0
159.80,8824780,0,0,0
160.81,8832106,0,0,0
161.81,8834632,0,0,0
162.81,8835887,0,0,0
163.81,8837134,0,0,0
164.89,8838311,0,0,0
165.99,8846243,0,0,0
167.05,8847195,0,0,0
168.15,8848446,0,0,0
169.21,8849673,0,0,0
170.24,8851067,0,0,0
171.33,8863451,0,0,0
172.42,8866258,0,0,0
173.52,8868259,0,0,0
174.53,8869377,0,0,0
175.55,8870945,0,0,0
176.57,8875382,0,0,0
177.67,8879388,0,0,0
178.69,8880449,0,0,0
179.78,8881779,0,0,0
180.79,8882923,0,0,0
181.89,8887179,0,0,0
182.89,8891690,0,0,0
183.89,8894948,0,0,0
184.89,8896434,0,0,0
185.89,8897878,0,0,0
186.90,8898818,0,0,0
187.90,8905927,0,0,0
188.90,8907046,0,0,0
189.90,8910515,0,0,0
190.91,8911782,0,0,0
191.91,8912840,0,0,0
192.91,8916818,0,0,0
193.91,8920983,0,0,0
194.91,8923703,0,0,0
195.91,8925401,0,0,0
196.92,8926530,0,0,0
197.92,8927404,0,0,0
198.92,8940027,0,0,0
199.92,8941135,0,0,0
200.92,8942254,0,0,0
201.92,8943268,0,0,0
202.92,8944326,0,0,0
203.93,8948351,0,0,0
204.93,8952902,0,0,0
205.93,8956591,0,0,0
206.93,8957503,0,0,0
207.93,8958628,0,0,0
208.94,8959628,0,0,0
209.94,8966936,0,0,0
210.94,8967971,0,0,0
211.94,8969047,0,0,0
212.94,8970070,0,0,0
213.94,8971086,0,0,0
214.94,8976299,0,0,0
215.96,8981002,0,0,0
216.96,8984364,0,0,0
217.97,8985518,0,0,0
218.97,8986546,0,0,0
219.97,8987783,0,0,0
221.00,8994822,0,0,0
222.00,8995986,0,0,0
223.00,8997015,0,0,0
224.00,8998266,0,0,0
225.00,8999241,0,0,0
226.01,9003724,0,0,0
227.02,9014918,0,0,0
228.02,9016670,0,0,0
229.02,9017973,0,0,0
230.02,9019219,0,0,0
231.02,9020302,0,0,0
232.03,9027797,0,0,0
233.03,9028698,0,0,0
234.03,9029850,0,0,0
235.03,9030885,0,0,0
236.03,9032574,0,0,0
237.03,9036654,0,0,0
238.04,9042332,0,0,0
239.04,9044112,0,0,0
240.05,9045832,0,0,0
241.05,9046868,0,0,0
242.05,9047929,0,0,0
243.06,9054999,0,0,0
244.06,9056147,0,0,0
245.06,9057128,0,0,0
246.06,9058613,0,0,0
247.06,9059600,0,0,0
248.06,9063848,0,0,0
249.06,9069224,0,0,0
250.07,9073502,0,0,0
251.07,9074821,0,0,0
252.07,9075898,0,0,0
253.07,9076692,0,0,0
254.07,9089528,0,0,0
255.07,9090396,0,0,0
256.08,9092022,0,0,0
257.08,9093039,0,0,0
258.08,9094216,0,0,0
259.08,9100696,0,0,0
260.10,9103207,0,0,0
261.10,9105040,0,0,0
262.10,9106022,0,0,0
263.11,9107084,0,0,0
264.11,9108044,0,0,0
265.11,9114858,0,0,0
266.11,9116163,0,0,0
267.11,9117129,0,0,0
268.11,9118178,0,0,0
269.12,9119146,0,0,0
270.12,9126389,0,0,0
271.13,9128715,0,0,0
272.13,9130752,0,0,0
273.13,9131792,0,0,0
274.14,9132733,0,0,0
275.14,9133592,0,0,0
